model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 3 Series,2017,Automatic,27139,Diesel,160,51.4,3,18500
 1 Series,2017,Automatic,91563,Diesel,125,60.1,2,12750
 3 Series,2014,Manual,32139,Petrol,205,43.5,2,14000
 X1,2017,Automatic,54120,Diesel,30,65.7,2,14000
 X1,2017,Manual,20925,Diesel,150,68.9,2,14000
 3 Series,2016,Manual,30521,Diesel,20,68.9,2,12750
 X1,2018,Manual,16066,Petrol,150,51.4,1.5,18000
 1 Series,2015,Manual,11524,Diesel,0,83.1,1.5,11100
 1 Series,2017,Manual,21809,Petrol,145,53.3,1.5,12700
 1 Series,2017,Automatic,27245,Diesel,145,68.9,2,14500
 3 Series,2013,Automatic,35736,Diesel,125,58.9,2,12750
 X1,2017,Automatic,55782,Diesel,145,65.7,2,14100
 1 Series,2016,Manual,26404,Petrol,125,53.3,1.5,10800
 1 Series,2016,Manual,26631,Petrol,125,52.3,1.5,13000
 1 Series,2016,Manual,24111,Petrol,145,47.1,1.6,12500
 3 Series,2017,Manual,22763,Petrol,145,48.7,2,13600
 3 Series,2016,Manual,17385,Diesel,20,72.4,2,12700
 5 Series,2016,Automatic,35474,Diesel,125,60.1,2,15600
 4 Series,2016,Manual,16584,Diesel,30,62.8,2,15250
 1 Series,2018,Manual,30273,Diesel,145,53.3,1.5,11700
 2 Series,2017,Manual,62021,Diesel,145,65.7,2,10900
 5 Series,2016,Automatic,51552,Diesel,30,62.8,2,14400
 1 Series,2016,Manual,29508,Petrol,125,53.3,1.5,11100
 1 Series,2017,Manual,30865,Diesel,145,72.4,1.5,11100
 5 Series,2014,Automatic,46356,Diesel,30,62.8,2,12400
 1 Series,2016,Manual,18343,Diesel,20,70.6,1.5,12800
 5 Series,2014,Automatic,13858,Diesel,125,57.6,2,15000
 2 Series,2017,Manual,33752,Petrol,125,52.3,1.5,12750
 X3,2016,Automatic,19083,Diesel,150,54.3,2,21750
 2 Series,2017,Automatic,46281,Petrol,125,51.4,1.5,13900
 X1,2017,Automatic,54183,Diesel,150,65.7,2,14000
 X1,2017,Automatic,36701,Diesel,30,65.7,2,15200
 3 Series,2017,Automatic,48082,Petrol,150,51.4,2,13500
 X1,2016,Manual,77482,Diesel,20,68.9,2,12150
 2 Series,2017,Automatic,32389,Other,0,141.2,1.5,16000
 5 Series,2016,Automatic,39235,Diesel,30,62.8,2,14000
 3 Series,2018,Automatic,30703,Diesel,145,57.6,2,19490
 1 Series,2015,Semi-Auto,20000,Diesel,125,60.1,2,15499
 2 Series,2017,Semi-Auto,34971,Diesel,150,72.4,1.5,13000
 1 Series,2014,Semi-Auto,44900,Diesel,30,64.2,2,10600
 X3,2017,Semi-Auto,16945,Diesel,150,54.3,2,23000
 M4,2016,Semi-Auto,34209,Petrol,300,34,3,29998
 1 Series,2017,Manual,14138,Diesel,20,72.4,1.5,12498
 1 Series,2015,Manual,74375,Diesel,30,65.7,2,7948
 X1,2017,Automatic,31238,Diesel,145,55.4,2,17800
 3 Series,2015,Manual,37204,Diesel,30,64.2,2,13100
 1 Series,2017,Manual,26265,Diesel,0,83.1,1.5,11400
 3 Series,2016,Automatic,38838,Diesel,125,57.6,2,14800
 X3,2016,Automatic,59692,Diesel,145,54.3,2,15900
 3 Series,2016,Automatic,34623,Diesel,125,57.6,2,16300
 3 Series,2017,Manual,29968,Diesel,30,64.2,2,14800
 3 Series,2017,Automatic,27748,Diesel,200,49.6,3,19700
 3 Series,2015,Automatic,47288,Diesel,30,62.8,2,14450
 5 Series,2016,Automatic,64117,Diesel,30,65.7,2,13500
 5 Series,2015,Automatic,79563,Diesel,125,60.1,2,10900
 3 Series,2016,Manual,34842,Diesel,30,67.3,2,12200
 2 Series,2016,Manual,24313,Diesel,0,74.3,1.5,10600
 2 Series,2015,Manual,40789,Diesel,0,74.3,1.5,9100
 3 Series,2017,Automatic,66743,Diesel,30,67.3,2,12600
 5 Series,2016,Automatic,65612,Diesel,30,62.8,2,13600
 1 Series,2016,Manual,21390,Diesel,20,72.4,1.5,11700
 3 Series,2017,Automatic,72065,Diesel,20,70.6,2,12450
 5 Series,2016,Automatic,62444,Diesel,125,60.1,2,13500
 X3,2013,Automatic,71558,Diesel,160,50.4,2,12750
 X1,2017,Automatic,34666,Diesel,145,65.7,2,16700
 1 Series,2016,Manual,22920,Diesel,20,72.4,1.5,11400
 X5,2016,Automatic,71626,Other,0,85.6,2,21000
 X1,2017,Manual,38405,Diesel,145,68.9,2,14700
 3 Series,2018,Automatic,20681,Diesel,145,64.2,2,19000
 3 Series,2017,Automatic,20529,Diesel,145,65.7,2,15400
 X3,2016,Automatic,42691,Diesel,145,54.3,2,19000
 1 Series,2018,Automatic,10058,Petrol,145,37.2,1.5,15000
 3 Series,2016,Automatic,40337,Diesel,145,53.3,3,17950
 5 Series,2018,Automatic,23195,Diesel,145,65.7,2,22600
 1 Series,2017,Manual,17117,Petrol,145,53.3,1.5,13200
 3 Series,2017,Manual,22153,Diesel,150,68.9,2,12750
 3 Series,2015,Manual,56038,Diesel,20,68.9,2,9750
 3 Series,2017,Automatic,78345,Diesel,0,74.3,2,10900
 X4,2016,Automatic,31084,Diesel,145,54.3,2,21400
 1 Series,2017,Automatic,5615,Petrol,145,58.9,1.5,14600
 3 Series,2017,Automatic,55751,Petrol,150,51.4,1.5,12600
 X4,2017,Automatic,35016,Diesel,150,54.3,2,22500
 1 Series,2016,Manual,81579,Diesel,0,83.1,1.5,8000
 X1,2017,Manual,31518,Diesel,145,60.1,2,14800
 1 Series,2016,Manual,44008,Diesel,0,83.1,1.5,9900
 2 Series,2016,Manual,59509,Diesel,20,68.9,2,9500
 3 Series,2017,Automatic,43703,Other,140,134.5,2,17950
 1 Series,2016,Automatic,36858,Diesel,125,60.1,2,14200
 1 Series,2016,Automatic,25786,Diesel,0,74.3,2,12100
 1 Series,2016,Automatic,24592,Diesel,20,68.9,2,12700
 1 Series,2016,Manual,51002,Diesel,0,83.1,1.5,8800
 1 Series,2017,Automatic,26052,Diesel,145,68.9,2,15000
 3 Series,2017,Automatic,31528,Diesel,145,64.2,2,17100
 X3,2017,Automatic,25776,Diesel,200,47.9,3,21750
 1 Series,2016,Manual,18055,Petrol,125,52.3,1.5,13400
 3 Series,2014,Automatic,63223,Diesel,20,68.9,2,9900
 1 Series,2016,Manual,8719,Petrol,125,52.3,1.5,13700
 4 Series,2018,Automatic,27133,Petrol,145,44.8,2,16900
 5 Series,2018,Automatic,21947,Diesel,150,68.9,2,21950
 X1,2013,Manual,80625,Diesel,160,51.4,2,8750
 3 Series,2017,Automatic,31501,Other,0,134.5,2,17000
 1 Series,2016,Automatic,8707,Petrol,30,55.5,1.5,13750
 1 Series,2017,Manual,10861,Petrol,125,53.3,1.5,12800
 4 Series,2017,Manual,16359,Petrol,145,46.3,2,16000
 4 Series,2017,Automatic,46913,Diesel,145,65.7,2,16600
 3 Series,2017,Manual,37747,Diesel,125,60.1,2,15100
 4 Series,2017,Manual,24882,Petrol,145,46.3,2,16750
 1 Series,2015,Manual,24474,Petrol,125,52.3,1.5,12450
 3 Series,2018,Automatic,29394,Petrol,145,48.7,2,15700
 5 Series,2016,Manual,59528,Diesel,125,60.1,2,12600
 2 Series,2016,Manual,15577,Petrol,160,44.1,2,14600
 X1,2016,Manual,52226,Diesel,20,68.9,2,13700
 3 Series,2017,Automatic,12330,Diesel,30,64.2,2,16900
 4 Series,2015,Semi-Auto,62943,Diesel,30,65.7,2,15998
 X1,2020,Semi-Auto,1560,Diesel,145,60.1,2,31498
 2 Series,2020,Manual,1580,Petrol,150,43.5,1.5,27998
 X5,2020,Semi-Auto,1500,Diesel,150,37.7,3,54998
 3 Series,2014,Manual,11545,Petrol,165,44.8,2,11998
 2 Series,2020,Automatic,3160,Hybrid,140,113,1.5,25998
 1 Series,2020,Semi-Auto,1560,Diesel,150,48.7,2,31998
 X2,2020,Manual,1850,Diesel,150,49.6,2,29998
 X4,2019,Semi-Auto,7272,Diesel,150,42.8,2,33998
 X4,2019,Semi-Auto,7272,Diesel,150,42.8,2,33998
 1 Series,2017,Manual,19866,Diesel,30,65.7,2,14995
 4 Series,2016,Semi-Auto,22476,Petrol,145,48.7,2,17995
 1 Series,2013,Semi-Auto,42786,Petrol,235,37.7,3,14498
 1 Series,2015,Manual,42410,Diesel,30,65.7,2,10998
 5 Series,2014,Semi-Auto,60681,Diesel,125,57.6,2,11998
 X1,2016,Manual,57717,Diesel,125,58.9,2,14498
 3 Series,2017,Semi-Auto,8096,Petrol,145,51.4,2,16998
 1 Series,2015,Manual,49151,Diesel,30,62.8,2,11498
 X6,2017,Semi-Auto,40429,Diesel,200,47.1,3,29498
 M4,2016,Semi-Auto,21107,Petrol,300,34,3,31498
 1 Series,2016,Semi-Auto,33043,Petrol,200,39.8,3,19498
 X1,2016,Semi-Auto,50378,Diesel,125,57.6,2,17998
 5 Series,2019,Semi-Auto,11115,Diesel,145,65.7,2,25998
 X1,2013,Manual,69020,Diesel,125,57.6,2,8298
 8 Series,2019,Semi-Auto,2650,Diesel,145,39.8,3,61898
 1 Series,2014,Manual,55834,Petrol,300,35.3,3,13298
 3 Series,2019,Semi-Auto,5761,Diesel,150,55.4,2,21898
 1 Series,2017,Semi-Auto,47110,Diesel,0,78.5,1.5,11498
 X3,2014,Semi-Auto,54075,Diesel,145,54.3,2,17495
 5 Series,2015,Semi-Auto,45152,Diesel,30,62.8,2,14998
 2 Series,2014,Manual,52091,Diesel,125,58.9,2,10498
 1 Series,2019,Semi-Auto,4812,Petrol,145,47.9,2,19998
 X1,2016,Semi-Auto,37272,Petrol,160,44.8,2,16698
 3 Series,2019,Semi-Auto,4250,Diesel,145,48.7,2,27998
 5 Series,2018,Semi-Auto,15711,Diesel,145,60.1,3,27798
 1 Series,2016,Manual,21236,Petrol,260,36.2,3,18298
 1 Series,2017,Semi-Auto,24008,Petrol,145,55.5,1.5,14698
 X1,2016,Semi-Auto,25994,Diesel,145,55.4,2,18498
 X5,2015,Automatic,24188,Diesel,200,47.1,3,27998
 X5,2015,Automatic,59216,Diesel,200,47.9,3,21498
 1 Series,2017,Manual,21171,Petrol,260,36.2,3,19498
 1 Series,2017,Manual,24259,Petrol,145,52.3,1.5,14498
 5 Series,2017,Semi-Auto,19379,Diesel,145,65.7,2,22998
 1 Series,2017,Manual,20790,Diesel,145,70.6,1.5,14498
 5 Series,2019,Semi-Auto,2743,Diesel,145,60.1,2,29898
 3 Series,2019,Semi-Auto,6000,Petrol,145,48.7,2,22998
 3 Series,2019,Manual,3980,Diesel,145,53.3,2,29998
 4 Series,2019,Semi-Auto,101,Diesel,145,60.1,2,29898
 5 Series,2017,Semi-Auto,12725,Diesel,145,68.9,2,20498
 3 Series,2019,Semi-Auto,18200,Diesel,150,48.7,2,27650
 Z4,2016,Semi-Auto,25300,Petrol,205,41.5,2,18650
 4 Series,2018,Automatic,7200,Petrol,145,48.7,2,22995
 X6,2018,Semi-Auto,6100,Diesel,145,47.1,3,36995
 5 Series,2018,Automatic,6800,Diesel,145,68.9,2,26995
 1 Series,2013,Manual,31600,Diesel,125,57.6,2,11995
 5 Series,2018,Semi-Auto,8700,Diesel,145,49.6,2,25995
 X6,2016,Automatic,43600,Diesel,200,44.8,3,29995
 3 Series,2018,Semi-Auto,16452,Petrol,150,48.7,2,21495
 5 Series,2017,Automatic,15838,Diesel,145,60.1,2,22998
 5 Series,2019,Automatic,6775,Diesel,145,51.4,3,34498
 1 Series,2019,Semi-Auto,11234,Diesel,145,68.9,2,18498
 7 Series,2019,Semi-Auto,5893,Diesel,145,44.1,3,45898
 X3,2019,Semi-Auto,9781,Diesel,145,48.7,3,37898
 X5,2016,Automatic,17303,Hybrid,0,85.6,2,34498
 1 Series,2016,Manual,25334,Petrol,300,35.3,3,17998
 3 Series,2016,Semi-Auto,36501,Diesel,145,53.3,3,18498
 2 Series,2019,Semi-Auto,2318,Petrol,145,47.9,2,23998
 X1,2017,Semi-Auto,14418,Diesel,145,55.4,2,21498
 X1,2017,Semi-Auto,12160,Diesel,145,65.7,2,18500
 X3,2018,Semi-Auto,20290,Diesel,145,48.7,3,31000
 X1,2016,Semi-Auto,13690,Diesel,125,57.6,2,19500
 X5,2017,Automatic,22158,Diesel,205,47.1,3,34000
 X5,2015,Automatic,36174,Diesel,205,47.1,3,28000
 3 Series,2018,Semi-Auto,30000,Diesel,150,53.3,3,22000
 1 Series,2016,Manual,40125,Petrol,305,35.3,3,16000
 3 Series,2017,Manual,20087,Petrol,165,44.8,2,18000
 X7,2020,Semi-Auto,5000,Diesel,150,31.4,3,78000
 3 Series,2018,Semi-Auto,11150,Petrol,145,48.7,2,22500
 1 Series,2018,Manual,5827,Petrol,145,37.7,1.5,15500
 4 Series,2019,Semi-Auto,14000,Diesel,145,50.4,3,29000
 4 Series,2019,Semi-Auto,5196,Diesel,145,65.7,2,24700
 2 Series,2019,Semi-Auto,2500,Petrol,145,39.2,1.5,24000
 1 Series,2018,Manual,7000,Diesel,145,50.4,1.5,16000
 X3,2019,Semi-Auto,26,Petrol,145,24.8,3,56000
 1 Series,2019,Semi-Auto,4493,Petrol,145,34.5,2,32000
 X1,2018,Semi-Auto,10545,Diesel,145,60.1,2,20000
 X1,2017,Semi-Auto,16500,Petrol,145,44.8,2,22000
 3 Series,2016,Semi-Auto,43695,Hybrid,0,134.5,2,16998
 X3,2015,Semi-Auto,48867,Diesel,145,54.3,2,17498
 1 Series,2017,Semi-Auto,23157,Petrol,145,54.3,1.5,15798
 X1,2016,Semi-Auto,30434,Diesel,125,57.6,2,18998
 3 Series,2015,Semi-Auto,39700,Diesel,160,50.4,3,20000
 5 Series,2019,Semi-Auto,5739,Diesel,145,62.8,2,28000
 X5,2017,Automatic,18000,Diesel,145,42.8,3,41500
 1 Series,2018,Semi-Auto,24275,Diesel,145,68.9,1.5,16000
 4 Series,2017,Semi-Auto,14774,Diesel,125,58.9,2,20800
 3 Series,2018,Semi-Auto,12133,Petrol,145,48.7,2,20500
 1 Series,2017,Manual,15645,Petrol,125,52.3,1.5,15500
 X4,2016,Semi-Auto,25085,Diesel,200,47.9,3,25000
 1 Series,2017,Semi-Auto,19486,Petrol,145,39.8,3,21500
 X2,2019,Semi-Auto,5431,Diesel,145,48.7,2,30000
 7 Series,2020,Semi-Auto,6555,Diesel,145,42.2,3,53000
 3 Series,2014,Semi-Auto,73923,Diesel,160,52.3,3,14000
 1 Series,2018,Semi-Auto,6500,Petrol,150,32.5,3,25990
 X4,2018,Semi-Auto,10920,Diesel,150,42.8,2,32000
 3 Series,2019,Semi-Auto,8000,Petrol,150,44.8,2,24300
 5 Series,2019,Semi-Auto,12250,Diesel,150,53.3,3,33000
 X3,2016,Semi-Auto,37000,Diesel,145,54.3,2,20500
 3 Series,2016,Semi-Auto,40500,Diesel,145,53.3,3,19000
 3 Series,2017,Semi-Auto,33000,Diesel,145,60.1,2,18000
 M4,2020,Semi-Auto,2000,Petrol,145,32.5,3,51000
 X3,2015,Semi-Auto,48000,Diesel,145,54.3,2,16500
 4 Series,2017,Manual,17410,Petrol,150,40.9,2,19800
 1 Series,2017,Manual,25975,Petrol,145,53.3,1.5,13500
 1 Series,2019,Semi-Auto,12054,Petrol,150,54.3,1.5,18500
 1 Series,2014,Manual,51203,Diesel,30,65.7,2,9300
 X5,2019,Semi-Auto,5145,Diesel,150,37.7,3,50000
 1 Series,2017,Manual,23274,Diesel,20,72.4,1.5,11800
 4 Series,2018,Semi-Auto,10948,Diesel,145,60.1,2,22000
 2 Series,2019,Semi-Auto,7000,Petrol,145,38.2,3,27500
 5 Series,2019,Semi-Auto,16000,Diesel,145,60.1,3,28000
 2 Series,2020,Manual,5550,Petrol,145,43.5,1.5,29000
 3 Series,2014,Semi-Auto,50687,Diesel,160,52.3,3,16800
 3 Series,2013,Semi-Auto,46500,Diesel,150,55.4,3,15500
 X1,2016,Semi-Auto,25300,Diesel,125,60.1,2,19300
 1 Series,2017,Semi-Auto,12458,Diesel,30,62.8,2,16998
 1 Series,2017,Semi-Auto,21200,Petrol,200,39.8,3,21498
 4 Series,2016,Semi-Auto,20151,Diesel,145,53.3,3,18998
 X1,2017,Manual,13278,Diesel,125,58.9,2,18498
 5 Series,2019,Semi-Auto,9000,Petrol,145,48.7,2,27000
 2 Series,2018,Semi-Auto,13174,Diesel,145,49.6,2,18000
 7 Series,2016,Semi-Auto,39085,Diesel,145,54.3,3,26000
 3 Series,2017,Semi-Auto,14834,Diesel,145,51.4,3,25500
 3 Series,2016,Semi-Auto,15088,Diesel,145,55.4,3,18000
 1 Series,2017,Semi-Auto,16761,Diesel,145,67.3,2,16800
 3 Series,2018,Semi-Auto,18564,Diesel,145,60.1,2,21300
 X2,2019,Semi-Auto,1418,Petrol,145,36.2,2,29000
 3 Series,2019,Semi-Auto,5525,Diesel,145,50.4,2,34000
 3 Series,2017,Semi-Auto,15338,Diesel,145,49.6,3,24000
 3 Series,2013,Semi-Auto,35500,Diesel,145,55.4,2,14990
 5 Series,2017,Semi-Auto,11086,Diesel,145,53.3,3,30000
 1 Series,2018,Semi-Auto,11132,Petrol,145,55.5,1.5,15800
 1 Series,2018,Semi-Auto,7656,Petrol,145,37.2,1.5,16500
 X3,2015,Semi-Auto,41567,Diesel,145,54.3,2,19500
 5 Series,2019,Semi-Auto,1034,Petrol,145,39.2,3,40000
 1 Series,2017,Semi-Auto,20294,Petrol,200,39.8,3,21800
 3 Series,2017,Semi-Auto,30422,Diesel,145,51.4,3,20998
 3 Series,2017,Semi-Auto,20313,Diesel,145,56.5,3,19698
 3 Series,2016,Semi-Auto,28775,Diesel,160,51.4,3,21498
 3 Series,2015,Semi-Auto,6147,Petrol,145,47.9,2,17200
 X5,2013,Automatic,45150,Diesel,200,45.6,3,24000
 1 Series,2019,Manual,2073,Diesel,145,57.7,1.5,26000
 4 Series,2020,Semi-Auto,25,Petrol,145,48.7,2,27000
 4 Series,2020,Semi-Auto,25,Diesel,145,60.1,2,27500
 X5,2019,Semi-Auto,6500,Diesel,145,37.7,3,52000
 4 Series,2019,Semi-Auto,4025,Diesel,145,50.4,3,32000
 2 Series,2015,Manual,27221,Diesel,0,74.3,1.5,10498
 3 Series,2013,Manual,75561,Diesel,20,68.9,2,9985
 X4,2015,Manual,53755,Diesel,160,52.3,2,19485
 3 Series,2013,Semi-Auto,95043,Diesel,30,62.8,2,9965
 X1,2014,Semi-Auto,56952,Diesel,160,52.3,2,10985
 1 Series,2017,Semi-Auto,59066,Diesel,20,72.4,1.5,13489
 3 Series,2016,Semi-Auto,46889,Diesel,30,67.3,2,13994
 5 Series,2019,Semi-Auto,5137,Diesel,145,51.4,3,35950
 4 Series,2019,Semi-Auto,8794,Diesel,145,60.1,2,25490
 5 Series,2019,Semi-Auto,9854,Diesel,145,53.3,3,34900
 7 Series,2018,Semi-Auto,7123,Diesel,145,52.3,3,42000
 1 Series,2014,Manual,41500,Diesel,125,57.6,2,12000
 1 Series,2016,Manual,24678,Diesel,30,65.7,2,14000
 M4,2019,Semi-Auto,2258,Petrol,145,34,3,48000
 2 Series,2019,Semi-Auto,4413,Diesel,145,46.3,2,23950
 4 Series,2019,Semi-Auto,7292,Diesel,145,58.9,2,26550
 X1,2016,Semi-Auto,46354,Diesel,125,57.6,2,18000
 6 Series,2018,Semi-Auto,21525,Diesel,150,49.6,3,27990
 1 Series,2017,Manual,15663,Petrol,150,53.3,1.5,13450
 X5,2017,Automatic,18000,Diesel,200,47.1,3,34990
 4 Series,2020,Semi-Auto,17,Diesel,145,60.1,2,29500
 5 Series,2019,Semi-Auto,3816,Diesel,145,62.8,2,28500
 5 Series,2019,Semi-Auto,4405,Petrol,145,48.7,2,26000
 X2,2019,Manual,4825,Diesel,145,49.6,2,27000
 4 Series,2019,Semi-Auto,4406,Diesel,145,60.1,2,27000
 3 Series,2019,Semi-Auto,11564,Diesel,145,49.6,2,33000
 X2,2019,Semi-Auto,10,Petrol,145,34,2,32000
 5 Series,2016,Semi-Auto,51700,Diesel,30,65.7,2,14495
 3 Series,2013,Semi-Auto,55701,Petrol,145,47.9,1.6,9498
 1 Series,2018,Semi-Auto,11131,Petrol,145,39.8,3,23498
 3 Series,2020,Semi-Auto,5000,Diesel,150,43.5,3,51000
 X3,2016,Semi-Auto,25000,Diesel,150,54.3,2,22000
 1 Series,2017,Semi-Auto,18100,Petrol,150,39.8,3,23000
 X6,2018,Semi-Auto,7427,Diesel,145,40.9,3,39990
 3 Series,2017,Semi-Auto,43362,Diesel,145,56.5,3,17000
 1 Series,2017,Manual,18435,Petrol,125,53.3,1.5,11990
 1 Series,2019,Semi-Auto,5000,Diesel,145,72.4,1.5,16500
 X4,2018,Semi-Auto,4135,Diesel,145,37.2,3,40000
 1 Series,2019,Semi-Auto,1214,Diesel,145,51.4,2,27000
 M5,2019,Semi-Auto,3545,Petrol,145,24.1,4.4,72000
 3 Series,2017,Semi-Auto,43267,Diesel,145,62.8,2,19650
 X5,2020,Semi-Auto,3500,Diesel,145,33.6,3,60990
 4 Series,2019,Semi-Auto,5623,Diesel,145,65.7,2,22500
 M4,2018,Semi-Auto,2577,Petrol,150,34,3,43500
 2 Series,2015,Semi-Auto,43617,Petrol,265,37.2,3,18700
 X5,2015,Automatic,52936,Diesel,205,47.1,3,26000
 7 Series,2017,Semi-Auto,25000,Diesel,150,53.3,3,34000
 3 Series,2014,Semi-Auto,56000,Diesel,150,55.4,2,15000
 3 Series,2017,Semi-Auto,20000,Diesel,150,62.8,2,18300
 4 Series,2015,Semi-Auto,87597,Diesel,160,51.4,3,15990
 3 Series,2013,Manual,74449,Petrol,200,41.5,2,9995
 X2,2019,Semi-Auto,3241,Petrol,150,40.4,2,23498
 3 Series,2019,Semi-Auto,3500,Diesel,145,45.6,3,34450
 X7,2019,Semi-Auto,5600,Diesel,150,33.6,3,67400
 7 Series,2019,Semi-Auto,7780,Petrol,145,34.5,3,47990
 X3,2020,Semi-Auto,4500,Diesel,150,54.3,2,35900
 4 Series,2016,Semi-Auto,24188,Diesel,145,55.4,3,18498
 X1,2017,Semi-Auto,26939,Diesel,145,65.7,2,18998
 X1,2018,Semi-Auto,17276,Petrol,150,46.3,1.5,16995
 3 Series,2017,Semi-Auto,26252,Diesel,145,51.4,3,20998
 3 Series,2017,Semi-Auto,19675,Petrol,125,51.4,2,15998
 1 Series,2019,Semi-Auto,100,Diesel,150,48.7,2,29000
 X5,2019,Semi-Auto,6000,Diesel,150,37.7,3,51000
 X5,2017,Automatic,30207,Diesel,200,47.1,3,29945
 5 Series,2018,Semi-Auto,28502,Diesel,145,65.7,2,24595
 5 Series,2014,Semi-Auto,73837,Diesel,160,51.4,3,13990
 3 Series,2017,Semi-Auto,48604,Diesel,30,67.3,2,14990
 5 Series,2017,Semi-Auto,33492,Diesel,145,60.1,2,22990
 5 Series,2013,Semi-Auto,83380,Diesel,125,57.6,2,10495
 4 Series,2018,Semi-Auto,18937,Petrol,145,48.7,2,22595
 3 Series,2019,Semi-Auto,2460,Diesel,145,53.3,2,27995
 X1,2016,Semi-Auto,48697,Diesel,125,57.6,2,17298
 X1,2018,Semi-Auto,17276,Petrol,150,46.3,1.5,16995
 X1,2017,Manual,23692,Diesel,125,58.9,2,17995
 5 Series,2017,Semi-Auto,25260,Diesel,145,60.1,2,21998
 X1,2017,Semi-Auto,25291,Diesel,30,65.7,2,16698
 1 Series,2015,Semi-Auto,37634,Diesel,30,64.2,2,12298
 1 Series,2017,Manual,34446,Diesel,145,65.7,2,13798
 1 Series,2018,Manual,19995,Petrol,145,37.7,1.5,14000
 4 Series,2018,Manual,24848,Petrol,145,36.7,3,24000
 M4,2020,Semi-Auto,700,Petrol,145,34,3,50000
 4 Series,2018,Semi-Auto,4038,Petrol,150,45.6,2,21500
 3 Series,2016,Semi-Auto,31250,Diesel,165,51.4,3,22000
 5 Series,2015,Semi-Auto,64194,Diesel,165,51.4,3,16000
 3 Series,2015,Semi-Auto,38218,Diesel,165,51.4,3,18500
 3 Series,2019,Automatic,6148,Diesel,145,52.3,2,28000
 3 Series,2018,Automatic,13430,Diesel,145,49.6,3,27000
 X3,2015,Semi-Auto,35500,Diesel,200,47.9,3,17000
 X3,2014,Semi-Auto,56787,Diesel,150,54.3,2,14495
 1 Series,2016,Semi-Auto,13369,Diesel,20,68.9,1.5,16200
