model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 A Class,2019,Manual,1173,Petrol,145,44.8,1.3,23184
 A Class,2017,Automatic,24092,Diesel,20,70.6,2.1,15787
 GLC Class,2018,Automatic,14517,Diesel,145,56.5,2.1,30682
 A Class,2019,Automatic,11000,Diesel,150,56.5,2,25701
 C Class,2020,Automatic,3500,Petrol,145,64.2,2,31790
 A Class,2019,Automatic,2471,Diesel,145,56.5,2,25190
 SLK,2014,Automatic,43955,Petrol,205,43.5,1.8,15990
 CLS Class,2018,Automatic,18837,Diesel,150,47.9,2.9,34990
 GLC Class,2019,Automatic,9886,Diesel,145,41.5,2.1,30799
 C Class,2017,Automatic,16509,Diesel,145,61.4,2.1,19743
 C Class,2019,Automatic,7475,Diesel,145,61.4,2,24055
 B Class,2019,Automatic,13661,Petrol,145,45.6,1.3,20945
 C Class,2019,Automatic,8263,Diesel,145,57.7,2,28524
 E Class,2019,Automatic,10279,Diesel,145,67.3,2,24541
 E Class,2017,Automatic,37000,Diesel,30,65.7,2,20880
 A Class,2006,Automatic,66000,Diesel,160,52.3,2,2880
 CLC Class,2010,Automatic,40000,Petrol,300,34,1.8,5880
 C Class,2015,Automatic,43000,Diesel,20,64.2,2.1,14940
 SLK,2004,Automatic,46000,Petrol,330,28,3.5,4890
 SL CLASS,2010,Automatic,18000,Petrol,555,29.1,3.5,16990
 B Class,2010,Automatic,71000,Petrol,240,40.9,1.5,3890
 B Class,2011,Automatic,90000,Petrol,240,40.9,1.5,3990
 A Class,2011,Manual,74000,Diesel,150,54.3,2,3440
 GLE Class,2020,Automatic,3000,Diesel,145,36.7,2,48995
 SLK,2008,Automatic,60000,Petrol,280,34.4,1.8,5980
 E Class,2015,Automatic,52000,Diesel,125,60.1,2.1,13990
 CLA Class,2016,Automatic,84000,Petrol,200,42.8,2,14480
 E Class,2010,Manual,79000,Petrol,300,35.3,1.8,6980
 C Class,2014,Automatic,48000,Diesel,145,56.5,2.1,11290
 E Class,2011,Manual,115000,Diesel,160,52.3,2.1,5740
 V Class,2017,Automatic,16000,Diesel,145,44.8,2.1,31980
 CLA Class,2014,Automatic,45000,Diesel,30,62.8,2.1,15990
 B Class,2015,Automatic,47000,Diesel,125,56.5,2.1,11240
 GLC Class,2019,Automatic,6200,Petrol,145,34,3,37980
 C Class,2019,Automatic,5500,Diesel,145,60.1,2,28980
 C Class,2019,Automatic,3908,Petrol,145,44.1,1.5,23280
 C Class,2019,Automatic,2000,Diesel,145,64.2,2,32980
 M Class,2008,Automatic,110000,Diesel,555,28.8,3,5990
 A Class,2013,Automatic,54000,Diesel,30,65.7,1.8,7300
 S Class,2014,Automatic,26000,Petrol,555,28,5.5,41980
 GL Class,2007,Automatic,104000,Diesel,570,28.8,3,7340
 GL Class,2007,Automatic,74000,Diesel,570,28.8,3,8490
 C Class,2009,Automatic,130000,Diesel,300,37.7,3,4480
 S Class,2016,Automatic,75000,Hybrid,190,42.4,3.5,24880
 E Class,2015,Automatic,22000,Diesel,140,53.3,3,17480
 E Class,2007,Automatic,58000,Diesel,315,37.2,3,4880
 S Class,2015,Automatic,11000,Petrol,270,33.2,4.7,38980
 SLK,2010,Manual,59147,Petrol,300,36.2,1.8,7495
 C Class,2007,Automatic,99000,Petrol,555,28.8,2.5,3790
 C Class,2007,Automatic,87000,Petrol,325,32.5,1.8,3890
 CL Class,2015,Semi-Auto,14360,Diesel,20,62.8,2.1,17863
 GLA Class,2015,Automatic,29505,Diesel,125,55.4,2.1,17624
 A Class,2018,Automatic,10361,Diesel,145,68.9,1.5,18220
 SL CLASS,2017,Automatic,19522,Diesel,30,70.6,2.1,18775
 SL CLASS,2017,Automatic,23103,Diesel,30,70.6,2.1,20745
 A Class,2019,Automatic,15561,Diesel,145,68.9,1.5,18118
 A Class,2019,Automatic,14783,Diesel,145,65.7,1.5,17990
 SL CLASS,2019,Semi-Auto,9477,Petrol,145,47.1,2,28491
 A Class,2018,Automatic,11565,Diesel,145,67.3,1.5,18888
 A Class,2019,Automatic,6781,Petrol,145,28.5,1.3,19840
 A Class,2019,Automatic,15722,Diesel,145,65.7,1.5,18241
 A Class,2019,Automatic,15689,Diesel,145,65.7,1.5,18141
 GLS Class,2016,Automatic,21169,Diesel,305,37.2,3,37385
 CLS Class,2017,Automatic,9165,Diesel,150,51.4,3,26166
 B Class,2019,Automatic,3710,Diesel,145,55.4,2,24616
 C Class,2019,Automatic,3000,Petrol,145,46.3,1.5,30403
 SL CLASS,2019,Automatic,3000,Petrol,145,47.1,2,30670
 C Class,2020,Automatic,3000,Diesel,145,64.2,2,30960
 A Class,2020,Automatic,3500,Diesel,145,62.8,1.5,24107
 C Class,2019,Automatic,11368,Diesel,145,58.9,1.6,24510
 GL Class,2016,Automatic,14253,Diesel,325,36.2,3,35371
 GLC Class,2019,Automatic,11301,Diesel,145,56.5,2.1,33729
 C Class,2019,Automatic,7500,Diesel,145,64.2,2,29623
 C Class,2019,Automatic,5617,Diesel,145,57.7,2,27964
 B Class,2019,Automatic,9573,Petrol,145,45.6,1.3,21394
 B Class,2019,Automatic,14257,Petrol,145,45.6,1.3,20882
 CLS Class,2019,Automatic,3000,Diesel,150,45.6,2,37352
 C Class,2018,Automatic,11319,Diesel,145,65.7,1.6,18051
 C Class,2019,Automatic,2326,Petrol,145,46.3,1.5,24433
 GLC Class,2019,Automatic,6250,Diesel,145,40.9,2,37116
 GLA Class,2019,Automatic,13850,Diesel,145,67.3,2.1,22375
 C Class,2019,Automatic,13101,Diesel,145,61.4,2,24915
 E Class,2019,Automatic,10356,Diesel,145,70.6,2,29991
 A Class,2019,Automatic,5382,Diesel,145,62.8,1.5,22596
 A Class,2019,Automatic,1521,Diesel,145,56.5,2,22730
 C Class,2019,Automatic,14696,Diesel,145,56.5,2,26154
 E Class,2020,Automatic,3500,Diesel,145,42.8,2,35438
 C Class,2019,Automatic,3168,Diesel,145,55.4,2,27980
 C Class,2019,Automatic,3477,Diesel,145,61.4,2,28250
 B Class,2019,Automatic,6441,Petrol,145,44.1,1.3,23280
 C Class,2017,Automatic,19023,Diesel,145,65.7,2.1,15700
 CLA Class,2017,Automatic,8423,Diesel,150,67.3,2.1,18790
 GLE Class,2020,Automatic,6700,Diesel,150,32.8,3,54995
 A Class,2018,Automatic,6511,Diesel,150,65.7,1.5,20450
 A Class,2014,Automatic,66690,Diesel,20,64.2,2.1,11980
 C Class,2017,Automatic,26878,Petrol,150,48.7,2,19890
 GLA Class,2018,Automatic,24556,Diesel,145,56.5,2.1,20350
 E Class,2017,Automatic,34934,Diesel,150,61.4,2,22890
 A Class,2017,Automatic,7875,Petrol,150,53.3,1.6,18890
 B Class,2017,Automatic,23290,Diesel,20,68.9,2.1,15480
 E Class,2016,Automatic,48889,Diesel,125,58.9,2.1,16480
 CLA Class,2017,Automatic,31949,Diesel,150,58.9,2.1,20480
 GLC Class,2016,Automatic,34358,Diesel,125,56.5,2.1,25780
 C Class,2017,Automatic,25000,Hybrid,140,134.5,2,21000
 GLA Class,2016,Automatic,34092,Diesel,125,56.6,2.1,17800
 B Class,2019,Automatic,14931,Petrol,145,45.6,1.3,20700
 C Class,2016,Automatic,44184,Petrol,125,50.4,2,17890
 C Class,2009,Automatic,96000,Diesel,235,42.2,2.1,4200
 E Class,2017,Semi-Auto,21352,Diesel,20,72.4,2,20998
 GLA Class,2015,Semi-Auto,33114,Diesel,125,56.5,2.1,18998
 C Class,2017,Semi-Auto,28234,Petrol,160,43.5,2,24998
 CL Class,2015,Manual,15557,Petrol,125,50.4,1.6,17498
 C Class,2016,Semi-Auto,22803,Diesel,30,61.4,2.1,19498
 C Class,2018,Semi-Auto,17093,Diesel,145,67.3,2.1,23498
 E Class,2014,Semi-Auto,43125,Diesel,200,45.6,3,15998
 S Class,2016,Semi-Auto,30135,Diesel,200,47.9,3,28498
 CL Class,2015,Manual,25920,Petrol,125,51.4,1.6,16498
 GLC Class,2020,Semi-Auto,5538,Diesel,150,40.9,2,37998
 C Class,2014,Automatic,37600,Diesel,30,64.2,2.1,16995
 A Class,2016,Automatic,13000,Petrol,200,40.9,2,27995
 S Class,2015,Automatic,17700,Diesel,200,48.7,3,29995
 GLC Class,2017,Semi-Auto,37950,Diesel,145,56.5,2.1,26995
 C Class,2017,Automatic,14000,Petrol,145,47.1,2,24995
 GLE Class,2016,Automatic,27700,Diesel,200,47.9,2.1,29995
 A Class,2019,Semi-Auto,21400,Petrol,145,53.3,1.3,18995
 B Class,2015,Semi-Auto,41500,Diesel,20,67.3,1.5,11995
 G Class,2015,Semi-Auto,34400,Diesel,570,25.2,3,52995
 E Class,2017,Semi-Auto,19300,Diesel,30,65.7,2,23995
 E Class,2015,Semi-Auto,27622,Diesel,145,54.3,3,17698
 CLS Class,2014,Semi-Auto,31815,Diesel,145,54.3,2.1,15998
 E Class,2016,Semi-Auto,25273,Diesel,145,54.3,3,20298
 C Class,2014,Semi-Auto,52712,Diesel,20,64.2,2.1,12998
 A Class,2013,Semi-Auto,54060,Diesel,30,64.2,2.1,11998
 C Class,2017,Semi-Auto,59858,Diesel,145,64.2,2.1,17998
 GLA Class,2016,Semi-Auto,50543,Diesel,125,56.5,2.1,16998
 S Class,2019,Semi-Auto,375,Diesel,145,52.3,3,48998
 C Class,2019,Manual,22,Petrol,145,48.7,1.6,28998
 E Class,2019,Semi-Auto,3325,Petrol,145,32.5,3,46998
 A Class,2017,Semi-Auto,16244,Diesel,145,74.3,1.5,17498
 S Class,2016,Semi-Auto,36121,Diesel,200,47.9,3,26498
 B Class,2013,Semi-Auto,46108,Diesel,30,64.2,1.8,8998
 GLA Class,2016,Semi-Auto,27846,Diesel,125,56.5,2.1,19498
 E Class,2017,Semi-Auto,20195,Diesel,20,72.4,2,20498
 C Class,2018,Semi-Auto,18739,Diesel,150,60.1,2.1,22998
 C Class,2016,Manual,53453,Diesel,20,70.6,2.1,12998
 C Class,2016,Semi-Auto,23090,Diesel,30,65.7,2.1,22998
 S Class,2015,Semi-Auto,14158,Diesel,200,47.9,3,27998
 S Class,2015,Semi-Auto,27343,Diesel,200,48.7,3,26498
 V Class,2017,Semi-Auto,58590,Diesel,235,44.8,2.2,27998
 E Class,2019,Semi-Auto,5211,Diesel,145,70.6,2,36998
 GLC Class,2017,Semi-Auto,9172,Diesel,145,56.5,2.1,26998
 E Class,2015,Semi-Auto,26999,Diesel,160,51.4,3,19498
 C Class,2019,Semi-Auto,8150,Diesel,145,60.1,1.6,25498
 E Class,2019,Semi-Auto,26100,Diesel,145,65.7,2,28998
 C Class,2019,Semi-Auto,9344,Diesel,145,55.4,2,24998
 GLA Class,2020,Semi-Auto,3930,Petrol,150,35.8,1.6,27998
 GLC Class,2019,Semi-Auto,7540,Diesel,145,40.9,2,35998
 GLC Class,2019,Semi-Auto,12831,Diesel,145,44.8,2,32998
 GLE Class,2016,Semi-Auto,42913,Diesel,200,47.9,2.1,24998
 C Class,2017,Semi-Auto,20981,Diesel,30,64.2,2.1,21498
 E Class,2017,Semi-Auto,22930,Diesel,145,72.4,2,20998
 S Class,2016,Semi-Auto,44072,Diesel,200,47.9,3,25498
 B Class,2015,Semi-Auto,20789,Diesel,20,67.3,1.5,13498
 A Class,2016,Semi-Auto,29160,Diesel,20,67.3,2.1,16998
 SL CLASS,2019,Semi-Auto,2403,Petrol,145,47.1,2,32998
 B Class,2019,Manual,4653,Petrol,145,45.6,1.3,21498
 E Class,2014,Semi-Auto,33404,Diesel,125,58.9,2.1,13998
 C Class,2017,Semi-Auto,23760,Diesel,30,64.2,2.1,18998
 C Class,2016,Manual,26100,Diesel,20,68.9,2.1,17998
 C Class,2019,Semi-Auto,4285,Diesel,145,61.4,2,28498
 C Class,2016,Semi-Auto,28388,Diesel,30,64.2,1.6,18998
 A Class,2019,Semi-Auto,14899,Diesel,145,68.9,1.5,19498
 C Class,2017,Semi-Auto,16902,Diesel,145,60.1,2.1,20998
 B Class,2019,Semi-Auto,10713,Petrol,145,45.6,1.3,20998
 M Class,2015,Semi-Auto,43339,Diesel,200,39.2,2.1,21498
 E Class,2017,Semi-Auto,46230,Diesel,145,67.3,2,19998
 SL CLASS,2017,Semi-Auto,29114,Diesel,30,70.6,2.1,19498
 E Class,2016,Semi-Auto,37915,Diesel,160,51.4,3,20498
 SL CLASS,2017,Semi-Auto,11534,Diesel,145,70.6,2.1,22498
 SL CLASS,2017,Semi-Auto,18739,Diesel,145,70.6,2.1,20998
 E Class,2017,Semi-Auto,27671,Diesel,145,72.4,2,20998
 A Class,2015,Semi-Auto,23247,Petrol,200,42.8,2,18998
 C Class,2018,Semi-Auto,9255,Diesel,145,57.7,2,27498
 C Class,2016,Semi-Auto,26973,Diesel,30,65.7,1.6,16998
 E Class,2017,Semi-Auto,16910,Diesel,145,65.7,2,22998
 S Class,2015,Semi-Auto,28191,Diesel,200,47.9,3,24498
 C Class,2018,Semi-Auto,12491,Diesel,145,65.7,2.1,27498
 A Class,2015,Semi-Auto,39587,Petrol,200,42.8,2,16998
 GLA Class,2015,Semi-Auto,42942,Petrol,200,42.8,2,17998
 GLC Class,2016,Semi-Auto,46259,Diesel,125,56.5,2.1,23498
 A Class,2017,Semi-Auto,7919,Diesel,145,68.9,2.1,18298
 A Class,2019,Semi-Auto,3770,Petrol,150,53.3,1.3,22998
 C Class,2014,Semi-Auto,24175,Petrol,570,23.5,6.2,26998
 V Class,2018,Manual,14941,Diesel,145,46.3,2.1,19998
 V Class,2018,Manual,21525,Diesel,145,46.3,2.1,19498
 C Class,2014,Semi-Auto,26216,Diesel,30,64.2,2.1,15998
 C Class,2013,Semi-Auto,80485,Diesel,145,54.3,2.1,9298
 CL Class,2014,Semi-Auto,33274,Diesel,30,62.8,2.1,17298
 C Class,2018,Semi-Auto,16900,Diesel,145,61.4,2.1,20489
 M Class,2013,Automatic,51800,Diesel,200,44.8,2.1,15990
 A Class,2013,Semi-Auto,47000,Diesel,20,68.9,1.8,9995
 GL Class,2014,Automatic,67833,Diesel,325,35.3,3,24498
 V Class,2016,Semi-Auto,32494,Diesel,200,45.6,2.2,26490
 A Class,2018,Semi-Auto,5491,Petrol,145,45.6,2,22990
 A Class,2018,Semi-Auto,2348,Petrol,145,53.3,1.3,19995
 GLA Class,2017,Manual,18692,Petrol,145,48.7,1.6,17850
 A Class,2016,Manual,30761,Diesel,30,62.8,2.1,15000
 C Class,2017,Manual,34015,Diesel,145,70.6,2.1,13800
 V Class,2018,Manual,22011,Diesel,145,46.3,2.1,20498
 C Class,2014,Semi-Auto,36243,Diesel,30,64.2,2.1,15498
 A Class,2019,Semi-Auto,3150,Diesel,145,65.7,1.5,18995
 C Class,2017,Semi-Auto,33000,Diesel,145,58.9,2.1,20995
 C Class,2018,Semi-Auto,11300,Petrol,150,36.2,3,31995
 A Class,2017,Semi-Auto,25800,Diesel,150,68.9,2.1,16995
 CL Class,2015,Automatic,41100,Diesel,20,67.3,2.1,17995
 GLC Class,2016,Semi-Auto,31600,Diesel,145,56.5,2.1,28995
 V Class,2018,Automatic,7000,Diesel,145,45.6,2.2,35995
 C Class,2017,Semi-Auto,32800,Diesel,30,65.7,2.1,23995
 GLA Class,2015,Semi-Auto,42129,Diesel,125,56.5,2.1,16998
 GLC Class,2016,Semi-Auto,49986,Diesel,125,56.5,2.1,21998
 GLA Class,2017,Semi-Auto,20085,Petrol,145,38.2,2,30498
 C Class,2019,Semi-Auto,14999,Diesel,145,55.4,2,27698
 C Class,2016,Semi-Auto,37941,Petrol,260,35.8,3,27498
 C Class,2019,Semi-Auto,11301,Diesel,145,61.4,2,32498
 GLE Class,2019,Semi-Auto,6279,Diesel,145,32.8,3,54498
 GL Class,2016,Semi-Auto,32726,Diesel,325,36.2,3,34998
 GLC Class,2016,Semi-Auto,16742,Diesel,145,56.5,2.1,28998
 C Class,2019,Semi-Auto,12629,Diesel,145,61.4,2.1,24498
 SL CLASS,2017,Semi-Auto,13526,Petrol,145,47.9,2,20998
 E Class,2015,Semi-Auto,23578,Diesel,150,54.3,3,19698
 A Class,2018,Semi-Auto,5189,Petrol,150,53.3,1.3,23498
 A Class,2019,Semi-Auto,6324,Diesel,145,65.7,1.5,21498
 A Class,2019,Semi-Auto,5685,Diesel,145,65.7,1.5,21498
 SL CLASS,2019,Semi-Auto,313,Petrol,145,31.4,4.7,64998
 E Class,2015,Semi-Auto,17167,Diesel,145,54.3,3,19498
 C Class,2015,Semi-Auto,68718,Petrol,125,53.3,2,12298
 SL CLASS,2017,Semi-Auto,4657,Diesel,145,70.6,2.1,21998
 GLE Class,2016,Semi-Auto,30121,Diesel,205,47.9,2.1,24998
 GLC Class,2017,Semi-Auto,23326,Diesel,150,56.5,2.1,29998
 E Class,2016,Semi-Auto,30132,Diesel,30,64.2,2.1,15635
 C Class,2018,Semi-Auto,21929,Diesel,145,64.2,2.1,20685
 E Class,2017,Semi-Auto,33037,Diesel,150,72.4,2,19498
 GLS Class,2018,Semi-Auto,9182,Diesel,145,37.2,3,46998
 C Class,2016,Semi-Auto,27968,Diesel,125,60.1,2.1,20498
 GLE Class,2017,Semi-Auto,14786,Diesel,200,47.9,2.1,30298
 E Class,2015,Semi-Auto,28056,Diesel,160,51.4,3,20298
 GLC Class,2017,Semi-Auto,20418,Petrol,145,34,3,37998
 GLE Class,2017,Semi-Auto,31322,Diesel,145,42.8,3,28998
 C Class,2014,Semi-Auto,41416,Diesel,30,64.2,2.1,15298
 GLC Class,2016,Semi-Auto,30162,Diesel,125,56.5,2.1,22998
 GLC Class,2018,Semi-Auto,11605,Diesel,145,56.5,2.1,31998
 E Class,2019,Semi-Auto,629,Petrol,145,32.9,2,36998
 GLA Class,2016,Semi-Auto,52029,Diesel,125,56.5,2.1,15998
 GLA Class,2015,Semi-Auto,22888,Diesel,125,55.4,2.1,18498
 GLC Class,2016,Semi-Auto,30639,Diesel,125,56.5,2.1,24998
 GLC Class,2018,Semi-Auto,7220,Diesel,145,56.5,2.1,33998
 C Class,2019,Semi-Auto,3814,Petrol,145,44.1,1.5,33998
 C Class,2019,Semi-Auto,17,Petrol,145,46.3,1.5,32998
 CLS Class,2016,Semi-Auto,29306,Diesel,160,51.4,3,21998
 GLE Class,2016,Semi-Auto,22707,Diesel,200,47.9,2.1,28698
 C Class,2018,Semi-Auto,15383,Petrol,145,46.3,1.5,19998
 CLS Class,2019,Semi-Auto,5428,Diesel,145,47.9,2.9,44498
 C Class,2015,Manual,24010,Diesel,20,72.4,1.6,13998
 GLE Class,2017,Semi-Auto,19605,Diesel,260,42.8,3,30498
 C Class,2019,Semi-Auto,15838,Diesel,145,61.4,2,24498
 SL CLASS,2016,Semi-Auto,33502,Diesel,30,70.6,2.1,18498
 A Class,2018,Semi-Auto,12386,Diesel,145,68.9,1.5,18998
 C Class,2016,Semi-Auto,37080,Diesel,20,64.2,2.1,16498
 GLC Class,2016,Semi-Auto,42809,Diesel,125,56.5,2.1,23998
 CL Class,2015,Semi-Auto,20820,Diesel,20,67.3,2.1,19498
 C Class,2016,Semi-Auto,73582,Diesel,30,61.4,2.1,15498
 E Class,2017,Semi-Auto,47007,Diesel,30,65.7,2,19498
 CLS Class,2019,Semi-Auto,926,Diesel,145,45.6,2,39998
 E Class,2019,Semi-Auto,378,Diesel,145,57.7,2,38998
 SL CLASS,2019,Semi-Auto,17,Petrol,145,47.1,2,32998
 GLC Class,2019,Semi-Auto,423,Diesel,145,56.5,2.1,34998
 A Class,2019,Semi-Auto,9651,Diesel,145,56.5,2,20998
 S Class,2015,Semi-Auto,35236,Diesel,200,47.9,3,27498
 SL CLASS,2017,Semi-Auto,20055,Diesel,30,70.6,2.1,20298
 A Class,2018,Semi-Auto,15450,Petrol,150,53.3,1.3,21998
 A Class,2019,Semi-Auto,19324,Petrol,150,53.3,1.3,21998
 A Class,2016,Semi-Auto,17171,Petrol,165,45.6,2,21998
 E Class,2016,Semi-Auto,33249,Diesel,145,54.3,3,19498
 E Class,2016,Semi-Auto,23951,Diesel,125,58.9,2.1,18998
 E Class,2017,Semi-Auto,16062,Diesel,145,52.3,3,21998
 A Class,2017,Manual,22969,Diesel,145,68.9,1.5,15245
 C Class,2014,Manual,98000,Diesel,20,68.9,2.1,10995
 A Class,2013,Manual,83000,Diesel,20,70.6,1.5,9995
 E Class,2017,Semi-Auto,16820,Diesel,145,51.4,3,23995
 SL CLASS,2016,Semi-Auto,9262,Petrol,260,36.7,3,28650
 M Class,2015,Semi-Auto,37963,Diesel,205,39.2,2.1,21998
 C Class,2014,Semi-Auto,39920,Diesel,30,64.2,2.1,15698
 V Class,2018,Manual,25254,Diesel,145,46.3,2.1,20498
 E Class,2019,Semi-Auto,2675,Hybrid,135,134.5,2,39998
 GLA Class,2015,Semi-Auto,18106,Diesel,125,56.6,2.1,18498
 C Class,2016,Semi-Auto,31891,Hybrid,0,134.5,2,18498
 GLC Class,2015,Semi-Auto,23487,Diesel,125,56.5,2.1,24498
 V Class,2018,Manual,20841,Diesel,145,46.3,2.1,20498
 V Class,2018,Manual,22033,Diesel,145,46.3,2.1,20498
 C Class,2019,Semi-Auto,2000,Petrol,145,42.2,2,31998
 C Class,2019,Semi-Auto,28000,Petrol,145,44.1,2,29998
 C Class,2019,Semi-Auto,22400,Petrol,145,44.1,1.5,24998
 S Class,2015,Semi-Auto,34434,Diesel,200,48.7,3,26498
 C Class,2019,Semi-Auto,2878,Petrol,145,42.2,2,32998
 C Class,2019,Semi-Auto,4500,Petrol,145,42.2,2,32998
 C Class,2019,Semi-Auto,836,Petrol,145,43.5,2,29998
 GLE Class,2016,Semi-Auto,14149,Diesel,235,42.8,3,30998
 SL CLASS,2016,Semi-Auto,27801,Petrol,145,47.9,2,19998
 C Class,2017,Semi-Auto,14462,Diesel,20,67.3,2.1,23998
 E Class,2019,Semi-Auto,2669,Diesel,145,47.1,3,48998
 C Class,2019,Semi-Auto,1887,Petrol,145,46.3,1.5,32498
 E Class,2017,Semi-Auto,52570,Diesel,30,65.7,2,19998
 GLE Class,2016,Semi-Auto,24732,Diesel,200,47.9,2.1,27998
 SL CLASS,2016,Semi-Auto,29302,Diesel,30,70.6,2.1,18998
 GLE Class,2017,Semi-Auto,30825,Diesel,145,47.9,2.1,28498
 E Class,2015,Semi-Auto,42577,Diesel,145,54.3,3,17998
 E Class,2015,Semi-Auto,40348,Diesel,145,54.3,3,18498
 C Class,2014,Semi-Auto,23772,Diesel,20,64.2,2.1,15498
 C Class,2017,Semi-Auto,28808,Diesel,145,61.4,2.1,18998
 E Class,2016,Semi-Auto,29511,Diesel,30,65.7,2,19998
 GLA Class,2014,Semi-Auto,43696,Diesel,145,55.4,2.1,15698
 GLC Class,2016,Semi-Auto,40220,Diesel,145,56.5,2.1,25998
 A Class,2016,Semi-Auto,39057,Diesel,20,74.3,1.5,15200
 M Class,2013,Semi-Auto,61363,Diesel,200,44.8,2.1,15200
 A Class,2016,Semi-Auto,23286,Diesel,20,68.9,2.1,15200
 M Class,2014,Semi-Auto,71657,Diesel,200,44.8,2.1,15998
 C Class,2019,Semi-Auto,10455,Petrol,145,46.3,1.5,22498
 GLA Class,2016,Semi-Auto,39017,Diesel,125,56.5,2.1,17998
 CL Class,2013,Manual,33562,Petrol,125,50.4,1.6,11998
 A Class,2019,Semi-Auto,4138,Diesel,145,65.7,1.5,21498
 C Class,2016,Semi-Auto,27644,Diesel,30,64.2,2.1,19298
 GLE Class,2016,Semi-Auto,34669,Diesel,200,47.9,2.1,28998
 B Class,2017,Manual,29559,Diesel,20,68.9,1.5,12498
 V Class,2018,Semi-Auto,18932,Diesel,145,45.6,2.2,32998
 C Class,2018,Semi-Auto,6265,Diesel,145,54.3,2,29498
 C Class,2016,Semi-Auto,21786,Diesel,20,65.7,2.1,16998
 S Class,2015,Semi-Auto,16382,Diesel,200,47.9,3,28998
 E Class,2016,Semi-Auto,23411,Diesel,160,52.3,3,20298
 SLK,2013,Semi-Auto,66282,Diesel,145,56.5,2,10698
 S Class,2015,Semi-Auto,29036,Diesel,160,50.4,3,24998
 A Class,2016,Semi-Auto,63454,Diesel,20,74.3,1.5,15498
 GLE Class,2015,Semi-Auto,29078,Diesel,200,47.9,2.1,25498
 E Class,2016,Semi-Auto,31131,Diesel,145,54.3,3,18698
 V Class,2017,Semi-Auto,32577,Diesel,145,45.6,2.2,30998
 A Class,2016,Manual,54544,Diesel,20,72.4,1.5,12498
 S Class,2019,Semi-Auto,1042,Diesel,145,52.3,3,46998
 C Class,2019,Semi-Auto,1558,Petrol,145,44.1,1.5,33998
 C Class,2019,Semi-Auto,2258,Petrol,145,46.3,1.5,32998
 C Class,2019,Semi-Auto,4977,Diesel,145,57.7,2,30498
 CLS Class,2015,Semi-Auto,35866,Diesel,160,49.6,3,19298
 A Class,2018,Semi-Auto,15316,Petrol,145,49.6,1.6,17498
 GLA Class,2016,Semi-Auto,21253,Petrol,200,43.5,2,21498
 E Class,2016,Semi-Auto,23791,Diesel,125,56.5,2.1,19498
 C Class,2017,Semi-Auto,26866,Diesel,30,64.2,2.1,18998
 A Class,2017,Semi-Auto,15478,Petrol,145,53.3,1.6,18498
 E Class,2019,Semi-Auto,1255,Diesel,145,49.6,2,40998
 S Class,2019,Semi-Auto,83,Diesel,145,52.3,3,49998
 S Class,2016,Semi-Auto,14633,Diesel,200,47.9,3,31998
 A Class,2019,Semi-Auto,5800,Diesel,150,65.7,1.5,23498
